"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 06:58:17 CST 2024","Mon Sep 30 06:58:18 CST 2024","436","Default Suite","MyUiTest","com.xiaohe.testcase.unittest.LoginTest","com.xiaohe.testcase.unittest.LoginTest","loginWithoutProtocol","loginWithoutProtocol",""
"broken","Mon Sep 30 07:00:33 CST 2024","Mon Sep 30 07:00:41 CST 2024","8045","Default Suite","MyUiTest","com.xiaohe.testcase.integrationtest.AddToCartTest","com.xiaohe.testcase.integrationtest.AddToCartTest","shopping","shopping",""
"passed","Mon Sep 30 06:58:18 CST 2024","Mon Sep 30 06:58:18 CST 2024","216","Default Suite","MyUiTest","com.xiaohe.testcase.unittest.LoginTest","com.xiaohe.testcase.unittest.LoginTest","slideDown","slideDown",""
"unknown","Mon Sep 30 06:58:14 CST 2024","Mon Sep 30 06:58:14 CST 2024","1","Default Suite","MyUiTest","com.xiaohe.testcase.unittest.LoginTest","com.xiaohe.testcase.unittest.LoginTest","verifylogin","verifylogin",""
"passed","Mon Sep 30 06:58:16 CST 2024","Mon Sep 30 06:58:17 CST 2024","409","Default Suite","MyUiTest","com.xiaohe.testcase.unittest.LoginTest","com.xiaohe.testcase.unittest.LoginTest","loginWithoutUsername","loginWithoutUsername",""
"passed","Mon Sep 30 06:58:17 CST 2024","Mon Sep 30 06:58:17 CST 2024","386","Default Suite","MyUiTest","com.xiaohe.testcase.unittest.LoginTest","com.xiaohe.testcase.unittest.LoginTest","loginWithoutPassword","loginWithoutPassword",""
"passed","Mon Sep 30 06:58:18 CST 2024","Mon Sep 30 06:58:18 CST 2024","264","Default Suite","MyUiTest","com.xiaohe.testcase.unittest.LoginTest","com.xiaohe.testcase.unittest.LoginTest","slideUp","slideUp",""
