"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"集成测试","购物车添加商品","搜索书品添加购物车","0","0","1","0","0"
"集成测试","购物车添加商品","清理数据,关闭浏览器","0","1","0","0","0"
